,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G1078
604",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1079
605",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1080
606",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1081
607",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1082
608",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1083
609",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1084
610",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1085
611",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1086
612",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1087
613",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1088
614",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
"G1089
615",,"16.02.2016
ID: 6203",,"PANIAN, Željko",,"Informatički enciklopedijski rječnik : englesko-hr Zagreb : Europapress holding, 2005",,,,,Vlastita kupnja,,3.98,,,DA,,681.3(038)=20 PANIA inf,,,
"G1090
616",,"16.02.2016
ID: 6202",,"PANIAN, Željko",,"Informatički enciklopedijski rječnik : englesko-hr Zagreb : Europapress holding, 2005",,,,,Vlastita kupnja,,3.98,,,DA,,681.3(038)=20 PANIA inf,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1091
617",,"14.01.2016
ID: 6038",,"KOS, Ivan",,"Lakše je uspjeti nego propasti / Ivan Kos. - Pula : Amforapress, 2004",,,,,Vlastita kupnja,,15.93,,,DA,,159.9 KOSIV lak,,,
"G1096
618",,"17.03.2016
ID: 6355",,TEHNIKA motornih vozila,,"Tehnika motornih vozila / preveo Goran Popović ; [ Zagreb : Hrvatska obrtnička komora : Pučko otvoreno učilište, 2005",,,,,Vlastita kupnja,,27.87,,,DA,,629 TEH-3.izd.,,,
"G1097
619",,"11.02.2016
ID: 6189",,"BRODIĆ, Darko",,"Novell NetWare : umrežavanje računalom / Darko Bro Zagareb : ProCon, 1994",,,,,Vlastita kupnja,,15.93,,,DA,,004.7 BRO N,,,
"G1099
620",,"12.04.2016
ID: 6457",,"MILINKOVIĆ, Stevan",,"IBM PC : uvod u rad / Stevan Milinković, Vladimir Beograd : Mikro knjiga, 1989",,,,,Vlastita kupnja,,15.93,,,DA,,004 MILIN ibm,,,
"G1100
621",,"10.10.2008
ID: 5535",,"GOLUBOVIĆ, Dobrila",,"Matematika 4 : II.dio : udžbenik za 4. razred četv Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) GOL m4,,Otpisano 23.12.2019.,
"G1101
622",,"10.10.2009
ID: 5534",,"GOLUBOVIĆ, Dobrila",,"Matematika 4 : I.dio : udžbenik za 4. razred četve Zagreb : Školska knjiga, 2005",,,,,Dar,,9.29,,,DA,,372(51) GOL m4,,,
"G1102
623",,"10.10.2007
ID: 5530",,"ČAVLOVIĆ, Ivan",,"Matematika 3 : II. dio : udžbenik za 3. razred čet Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) ČAV m3,,Otpisano 23.12.2019.,
"G1103
624",,"10.10.2006
ID: 5532",,"ČAVLOVIĆ, Ivan",,"Matematika 3 : I.dio : udžbenik za 3. razred četve Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) ČAV m3,,Otpisano 23.12.2019.,
"G1104
625",,"10.10.2006
ID: 5527",,"KELAVA-Račić, Ljiljana",,"Matematika 2 : II.dio : udžbenik za 2. razred četv Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) KEL m2,,Otpisano 23.12.2019.,
"G1105
626",,"10.10.2006
ID: 5524",,"KELAVA-Račić, Ljiljana",,"Matematika 2 : I. dio : udžbenik za 2. razred četv Zagreb : Školska knjiga, 2005",,,,,Dar,,9.29,,,DA,,372(51) KEL m2,,Otpisano 23.12.2019.,
"G1106
627",,"10.10.2006
ID: 5520",,"GUSIĆ, Ivica",,"Matematika 1 : II.dio : udžbenik za 1. razred četv Zagreb : Školska knjiga, 2005",,,,,Dar,,9.29,,,DA,,372(51) GUS m1,,,
"G1107
628",,"10.10.2006
ID: 5516",,"GUSIĆ, Ivica",,"Matematika 1 : priručnik za nastavnike za 1. razre Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) GUS m1,,,
"G1108
629",,"10.10.2006
ID: 5523",,"KELAVA-Račić, Ljiljana",,"Matematika 2 : priručnik za nastavnike za 2. razre Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) KEL m2,,,
"G1109
630",,"10.10.2006
ID: 5533",,"GOLUBOVIĆ, Dobrila",,"Matematika 4 : priručnik za nastavnike za 4.razred Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) GOL m4,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1110
631",,"10.10.2006
ID: 5529",,"ČAVLOVIĆ, Ivan",,"Matematika 3 : priručnik za nastavnike za 3. razre Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) ČAV m3,,,
"G1111
632",,"10.10.2006
ID: 5517",,"GUSIĆ, Ivica",,"Matematika 1 : I.dio : udžbenik za 1. razred četve Zagreb : Školska knjiga, 2005",,,,,Dar,,9.29,,,DA,,372(51) GUS m1,,,
"G1112
633",,"10.10.2006
ID: 5497",,"VAROŠANEC, Sanja",,"Matematika 1 [udžbenik i zbirka zadataka za 1. raz Zagreb, Element, 2006. (Zagreb : Tisak Trebotić)",,,,,Dar,,9.29,,,DA,,51(075.3) VAR m,,,
"G1114
634",,"10.10.2000
ID: 5160",,"DIKLIĆ, Zvonimir",,"Hrvatski jezik : udžbenik za III.razred trogodišnj Zagreb : Znanje, 2000",,,,,Dar,,5.31,,,DA,,808.62 DIK h,,,
"G1115
635",,"10.10.2000
ID: 5160",,"DIKLIĆ, Zvonimir",,"Hrvatski jezik : udžbenik za III.razred trogodišnj Zagreb : Znanje, 2000",,,,,Dar,,5.31,,,DA,,808.62 DIK h,,,
"G1116
636",,"10.10.2000
ID: 5160",,"DIKLIĆ, Zvonimir",,"Hrvatski jezik : udžbenik za III.razred trogodišnj Zagreb : Znanje, 2000",,,,,Dar,,5.31,,,DA,,808.62 DIK h,,,
"G1117
637",,"10.10.2004
ID: 5170",,"PANDŽIĆ, Vlado",,"Hrvatski 3 : hrvatski jezik, književnost, jezično Zagreb : Profil international d.o.o.,2000",,,,,Dar,,6.64,,,DA,,372 PAN h,,,
"G1120
638",,"11.02.2016
ID: 6165",,"OZIMEC, Stjepan",,"Arhimedovci : portreti darovito kreativne mladeži Varaždinske Toplice : Tonimir, 1998",,,,,Vlastita kupnja,,10.62,,,DA,,159.9 OZI A,,,
"G1121
639",,"10.10.2008
ID: 5435",,"SALAMON, Đurđica",,"Matematika 1 : udžbenik sa zbirkom zadataka za I. Zagreb : Alka script, 2005",,,,,Dar,,7.96,,,DA,,372(51) SAL m1,,,
"G1122
640",,"10.10.2000
ID: 5810",,"ŠETIĆ, Nevio",,"Istra između tradicionalnog i modernog : ili o pro Pazin : Naša sloga, 1997",,,,,Dar,,7.96,,,DA,,323.1 ŠET I,,,
"G1125
641",,"10.10.2000
ID: 4909",,"IVIR, Vladimir",,"Hrvatsko ili srpsko-engleski rječnik privrednog na Zagreb : Školska knjiga, 1978",,,,,Dar,,3.98,,,DA,,801=862=2 IVI H,,,
"G1126
642",,"10.10.2005
ID: 4852",,"VUJČIĆ, Ivan",,"Hrvatska povijest : udžbenik za industrijske i obr Zagreb : Birotehnika, 1995",,,,,Vlastita kupnja,,5.31,,,DA,,949.75 VUJ H,,Otpisano 13.12.2023.,
"G1128
643",,"10.10.2008
ID: 4902",,"MARKOVIĆ, Goranka",,"Geografija Hrvatske : udžbenik za IV. razred gimna Zagreb : Znanje, 2000",,,,,Vlastita kupnja,,10.62,,,DA,,911(075) MARKO geo,,,
"G1129
644",,"26.11.1999
ID: 3840",,TEMELJNI međunarodni,,"Temeljni međunarodni dokumenti iz područja odgoja Zagreb : Vlada republike Hrvatske, 1999",,,,,Ministarstvo,,3.98,,,DA,,341 TEMELJ,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1130
645",,"26.11.1999
ID: 3840",,TEMELJNI međunarodni,,"Temeljni međunarodni dokumenti iz područja odgoja Zagreb : Vlada republike Hrvatske, 1999",,,,,Ministarstvo,,3.98,,,DA,,341 TEMELJ,,,
"G1133
646",,"10.10.2005
ID: 5237",,"VULIĆ, Nataša",,"Politika i gospodarstvo : udžbenik za 4. razred gi Zagreb ; Školska knjiga, 2000",,,,,Dar,,6.64,,,DA,,32(075) BEN p,,,
"G1134
647",,"10.10.2004
ID: 3956",,"ANTIĆ, Stanko",,"Rječnik suvremenog obrazovanja : obrazovanje u tre Zagreb : Hrvatski pedagoško-književni zbor, 2000",,,,,Vlastita kupnja,,13.27,,,DA,,37 ANT R,,,
"G1136
648",,"10.10.2005
ID: 4423",,HRVATSKI leksikon,,"Hrvatski leksikon / [glavni urednik Antun Vujić]. Zagreb : Naklada Leksikon, 1996",,,,,Vlastita kupnja,,53.09,,,DA,,03 HRVA.L 1-,,,
"G1138
649",,"10.10.2005
ID: 5828",,"FACHIN, Niki",,"Umag - Savudrija : Povijest i kultura / Niki Fachi Umag : Olivetum, 2002",,,,,Dar,,7.96,,,DA,,908 FAC u,,,
"G1139
650",,"10.10.2005
ID: 5828",,"FACHIN, Niki",,"Umag - Savudrija : Povijest i kultura / Niki Fachi Umag : Olivetum, 2002",,,,,Dar,,7.96,,,DA,,908 FAC u,,,
"G1140
651",,"10.10.2008
ID: 4292",,"PETAK, Antun",,"Tehnička kultura u Hrvatskoj : od početka tehničko Zagreb : Hrvatska zajednica tehničke kulture, 1992",,,,,Vlastita kupnja,,13.27,,,DA,,001 PET t,,,
"G1141
652",,"25.11.2005
ID: 2250",,OD ideje do profita,,"Od ideje do profita : vodič za inovatore - poduzet Zagreb : Ministarstvo za obrt, malo i srednje poduzetništvo, 2002",,,,,Vlastita kupnja,,3.98,,,DA,,65 ODIDE,,,
"G1143
653",,"10.10.2004
ID: 5651",,"TKALAC, Slavko",,"Relacijski model podataka / Slavko Tkalac. - Zagreb : Informator, 1988",,,,,Dar,,5.31,,,DA,,004 TKALA rel,,,
"G1145
654",,"16.02.2016
ID: 6201",,"SLADOLJEV, Jerko",,"Kamping : stanje i kvaliteta ponude : izvješće 200 Poreč : Kamping udruženje Hrvatske, 2002",,,,,Vlastita kupnja,,6.64,,,DA,,338.48 SLA K,,,
"G1146
655",,"10.10.2002
ID: 4816",,MAKARSKO primorje,,"Makarsko primorje / [glavni urednik Sanja Božek]. Makarska : Gradski muzej Makarska, 1995",,,,,Vlastita kupnja,,7.96,,,DA,,908(497.5) MAKAR,,,
"G1147
656",,"10.10.2005
ID: 5172",,"ČUBRIĆ, Marina",,"Hrvatski jezik : udžbenik za 4. razred četverogodi Zagreb : Školska knjiga, 2001",,,,,Dar,,5.31,,,DA,,372 ČUB h,,,
"G1150
657",,"10.10.2006
ID: 5162",,ROSANDIĆ. Dragutin,,"Hrvatski jezik i književnost : udžbenik za 1. razr Zagreb : Profil Internatioanl, 2003",,,,,Dar,,7.96,,,DA,,372 ROS h,,,
"G1151
658",,"10.10.2006
ID: 5162",,ROSANDIĆ. Dragutin,,"Hrvatski jezik i književnost : udžbenik za 1. razr Zagreb : Profil Internatioanl, 2003",,,,,Dar,,7.96,,,DA,,372 ROS h,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1152
659",,"31.03.2016
ID: 6409",,"BARBAROŠA, Mirela",,"Hrvatski jezik 1 : udžbenik za 1. razred četverogo Zagreb : Školska knjiga, 2005",,,,,Dar,,6.64,,,DA,,811.163.42 BAR H-1,,,
"G1153
660",,"10.10.2002
ID: 4854",,"ĐURIĆ, Vesna",,"Hrvatska i svijet od prapovijesti do Francuske rev Zagreb : Profil, 1998",,,,,Dar,,6.64,,,DA,,94(075) ĐURIĆ hrv,,Otpisano 13.12.2023.,
"G1156
661",,"10.10.2008
ID: 5605",,"HERCIGONJA, Eduard",,"Elementi strojeva : za srednje strojarske škole / Zagreb : Školska knjiga, 2007",,,,,Dar,,9.29,,,DA,,621 HER e,,,
"G1157
662",,"19.01.2016
ID: 6077",,"LUČIĆ, Josip",,"Povijesni atlas / priredio Josip Lučić ; karte izr Zagreb : Kartografija-učila, 1984",,,,,Vlastita kupnja,,6.64,,,DA,,93 LUČ P,,,
"G1159
663",,"10.10.2008
ID: 4429",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [Vladimir Anić, Zagreb : Novi liber, 2002",,,,,Vlastita kupnja,,66.36,,,DA,,801.3(03) HRVAT,,,
"G1163
664",,"10.10.2008
ID: 4286",,"ŽUNAR, Milan",,"Tehničko crtanje : [udžbenik] / Milan Žunar. - Zagreb : Pučko otvoreno učilište Zagreb, 2005",,,,,Vlastita kupnja,,7.96,,,DA,,621 ŽUNAR teh,,,
"G1164
665",,"10.10.2005
ID: 5130",,"PANDŽIĆ, Vlado",,"Književnost III : udžbenik za treći razred trogodi Zagreb : Profil international, 1998",,,,,Dar,,6.64,,,DA,,82(091) PANDŽ KNJ,,,
"G1168
666",,"10.10.2006
ID: 5162",,ROSANDIĆ. Dragutin,,"Hrvatski jezik i književnost : udžbenik za 1. razr Zagreb : Profil Internatioanl, 2003",,,,,Dar,,7.96,,,DA,,372 ROS h,,,
"G1169
667",,"10.10.2006
ID: 5162",,ROSANDIĆ. Dragutin,,"Hrvatski jezik i književnost : udžbenik za 1. razr Zagreb : Profil Internatioanl, 2003",,,,,Dar,,7.96,,,DA,,372 ROS h,,,
"G1173
668",,"10.10.2006
ID: 4901",,"ALEKSIĆ, Aleksandra",,"Metodički priručnik za nastavnike uz udžbenik Ekon Zagreb : Školska knjiga, 2003",,,,,Dar,,3.98,,,DA,,372:91 ALE M,,,
"G1174
669",,"16.06.2003
ID: 4830",,"ALEKSIĆ, Aleksandra",,"Ekonomska geografija 1 / Aleksandra Aleksić. Karme Zagreb : Školska knjiga, 2003",,,,,Vlastita kupnja,,7.96,,,DA,,372 ALE e,,,
"G1176
670",,"25.05.2004
ID: 4796",,"VRBANAC, Ljiljana",,"Metodički priručnik za nastavnike : uz udžbenike T Zagreb : Školska knjiga, 2003",,,,,Vlastita kupnja,,5.31,,,DA,,372 VRB m,,,
"G1177
671",,"10.10.2008
ID: 4903",,"PAVLIĆ, Tanja",,"Metodički priručnik za nastavnike uz udžbenik Ekon Zagreb : Školska knjiga, 2003",,,,,Dar,,3.98,,,DA,,375.(41) PAVLI met,,,
"G1178
672",,"10.10.2005
ID: 4831",,"BILEN, Miljenko",,"Ekonomska geografija 4 / Miljenko Bilen, Kristina Zagreb : Školska knjiga, 2003",,,,,Dar,,7.96,,,DA,,372 BIL e,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1179
673",,"19.09.2000
ID: 4804",,"KLARIĆ, Zoran",,"Zemljopis 4 : udžbenik zemljopisa za 4. razred eko Zagreb : Školska knjiga, 1999",,,,,Dar,,6.64,,,DA,,91 KLARI zem,,Otpisano 23.12.2019.,
"G1180
674",,"10.10.2000
ID: 4802",,"KOZINA, Ines",,"Zemljopis 2 : udžbenik za drugi razred srednjih st Zagreb : Profil International, 1995",,,,,Vlastita kupnja,,5.31,,,DA,,91 KOZ Z,,,
"G1181
675",,"10.10.2002
ID: 4896",,"MATAS, Mate",,"Zemljopis I : udžbenik zemljopisa za I. razred sre Zagreb : Školska knjiga, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,911 MATAS zem,,Otpisano 23.12.2019.,
"G1182
676",,"12.05.2016
ID: 6565",,"BLAŽEVIĆ, Loara",,"Estetika odijevanja : priručnik za srednje tekstil Zagreb : Alfa, 2000",,,,,Dar,,10.62,,,DA,,64 BLA E,,,
"G1183
677",,"10.10.2006
ID: 4899",,"FELETAR, Dragutin",,"Priručnik za nastavnike : geografija 4 : za četvrt Zagreb : Meridijani, 2003",,,,,Dar,,2.65,,,DA,,91(076) FEL p,,,
"G1184
678",,"10.10.2008
ID: 4807",,"PAVKOVIĆ-OREŠIĆ, Jasna",,"Geografija 2: priručnik za nastavnike za 2 razred Zagreb, Meridijani, 2003.",,,,,Vlastita kupnja,,6.64,,,DA,,910 PAV g2,,,
"G1185
679",,"10.10.2008
ID: 4808",,POLAN; Željka,,"Geografija 3:priručnik za nastavnike za 3. razred Zagreb, Meridijani, 2003.",,,,,Dar,,6.64,,,DA,,910 POL g3,,,
"G1186
680",,"10.10.2008
ID: 4809",,"ROBOTIĆ, Vjekoslav",,Geografija 4;priručnik za nastavnike za 4. razred 68 str.;29 cm.,,,,,Dar,,6.64,,,DA,,910 ROB g4,,,
"G1187
681",,"11.03.2016
ID: 6310",,"ROBOTIĆ, Vjekoslav",,"Geografija 1, priručnik za nastavnike za 1. razred Zagreb : Meridijani, 2003",,,,,Dar,,6.64,,,DA,,371 ROB GEO,,,
"G1188
682",,"10.10.2000
ID: 4802",,"KOZINA, Ines",,"Zemljopis 2 : udžbenik za drugi razred srednjih st Zagreb : Profil International, 1995",,,,,Vlastita kupnja,,5.31,,,DA,,91 KOZ Z,,,
"G1189
683",,"10.10.2000
ID: 4802",,"KOZINA, Ines",,"Zemljopis 2 : udžbenik za drugi razred srednjih st Zagreb : Profil International, 1995",,,,,Vlastita kupnja,,5.31,,,DA,,91 KOZ Z,,,
"G1190
684",,"26.11.2000
ID: 4822",,"MATAS, Mate",,"Zemljopis I : udžbenik zemljopisa za I. razred sre Zagreb : Školska knjiga, 1994",,,,,Vlastita kupnja,,5.31,,,DA,,91 MATAS z,,Otpisano 23.12.2019.,
"G1191
685",,"26.11.2000
ID: 4822",,"MATAS, Mate",,"Zemljopis I : udžbenik zemljopisa za I. razred sre Zagreb : Školska knjiga, 1994",,,,,Vlastita kupnja,,5.31,,,DA,,91 MATAS z,,Otpisano 23.12.2019.,
"G1192
686",,"19.09.2000
ID: 4804",,"KLARIĆ, Zoran",,"Zemljopis 4 : udžbenik zemljopisa za 4. razred eko Zagreb : Školska knjiga, 1999",,,,,Dar,,6.64,,,DA,,91 KLARI zem,,Otpisano 23.12.2019.,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1193
687",,"19.09.2000
ID: 4804",,"KLARIĆ, Zoran",,"Zemljopis 4 : udžbenik zemljopisa za 4. razred eko Zagreb : Školska knjiga, 1999",,,,,Dar,,6.64,,,DA,,91 KLARI zem,,Otpisano 23.12.2019.,
"G1194
688",,"10.10.2006
ID: 5754",,"JAKOPOVIĆ, Željko",,"Fizika 1: udžbenik za 1. razred strukovnih škola s Zagreb: Školska knjiga, 1996",,,,,Dar,,7.96,,,DA,,53(075) JAK f,,,
"G1196
689",,"10.10.2006
ID: 5754",,"JAKOPOVIĆ, Željko",,"Fizika 1: udžbenik za 1. razred strukovnih škola s Zagreb: Školska knjiga, 1996",,,,,Dar,,7.96,,,DA,,53(075) JAK f,,Otpisano 04.12.2023.,
"G1197
690",,"10.10.2006
ID: 5754",,"JAKOPOVIĆ, Željko",,"Fizika 1: udžbenik za 1. razred strukovnih škola s Zagreb: Školska knjiga, 1996",,,,,Dar,,7.96,,,DA,,53(075) JAK f,,,
"G1198
691",,"10.10.2006
ID: 5754",,"JAKOPOVIĆ, Željko",,"Fizika 1: udžbenik za 1. razred strukovnih škola s Zagreb: Školska knjiga, 1996",,,,,Dar,,7.96,,,DA,,53(075) JAK f,,,
"G1200
692",,"10.10.2008
ID: 5568",,"KALINIĆ, Zoran",,"Motori s unutrašnjim izgaranjem : [udžbenik za str Zagreb : Školska knjiga, 2004",,,,,Dar,,10.62,,,DA,,621 KALIN mot,,,
"G1201
693",,"17.03.2016
ID: 6349",,"LABUDOVIĆ, Boris",,"Osnove tehnike instalacija vode i plina / [autor i Zagreb : Energetika marketing, 2003",,,,,Vlastita kupnja,,9.29,,,DA,,69 LAB O,,,
"G1202
694",,"17.03.2016
ID: 6361",,"KALINIĆ, Zoran",,"Održavanje alatnih strojeva : za srednje stručne š Zagreb : Školska knjiga, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,621 KAL O,,,
"G1203
695",,"10.10.2008
ID: 5567",,"KALINIĆ, Zoran",,"Tehnologija strojobravarije : za treći razred stru Zagreb : Školska knjiga, 2005",,,,,Dar,,9.29,,,DA,,621 KAL t,,,
"G1204
696",,"10.10.2008
ID: 4285",,"BECKHARD, Arthur J.",,"Nikola Tesla : genij elektrotehnike / Arthur J. Be Zagreb : Kigen, 2005",,,,,Vlastita kupnja,,11.95,,,DA,,92 TES G,,,
"G1205
697",,"10.10.2006
ID: 3779",,"VUK, Blaženka",,"Priručnik programa Junior Achievement : Poduzetnič Zagreb : Junior Achievement za Hrvatsku, 2001.",,,,,Vlastita kupnja,,2.65,,,DA,,65(035) VUK p,,,
"G1206
698",,"10.10.2002
ID: 5132",,"ROSANDIĆ, Dragutin",,"Književnost 1 : udžbenik za 1. razred trogodišnjih Zagreb : Profil, 1998",,,,,Dar,,6.64,,,DA,,82.01 ROS k,,,
"G1207
699",,"10.10.2000
ID: 3186",,"PRIKRIL, Boris",,"Nevidljivi neprijatelj na Atlantiku / Boris Prikri Zagreb [etc.] : Znanje [etc.], 1985",,,2,,Dar,,3.98,,,DA,,355 PRI N 1-2 ( 2),,,
"G1208
700",,"19.09.2000
ID: 4804",,"KLARIĆ, Zoran",,"Zemljopis 4 : udžbenik zemljopisa za 4. razred eko Zagreb : Školska knjiga, 1999",,,,,Dar,,6.64,,,DA,,91 KLARI zem,,Otpisano 23.12.2019.,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1209
701",,"10.10.2005
ID: 5130",,"PANDŽIĆ, Vlado",,"Književnost III : udžbenik za treći razred trogodi Zagreb : Profil international, 1998",,,,,Dar,,6.64,,,DA,,82(091) PANDŽ KNJ,,,
"G1210
702",,"12.10.2000
ID: 3185",,"PRIKRIL, Boris",,"Pakao Pacifika / Boris Prikril. - Zagreb [etc.] : Znanje [etc.], 1985",,,1,,Dar,,5.31,,,DA,,355 PRI P 1-2 ( 1),,,
"G1211
703",,"10.10.2000
ID: 3186",,"PRIKRIL, Boris",,"Nevidljivi neprijatelj na Atlantiku / Boris Prikri Zagreb [etc.] : Znanje [etc.], 1985",,,1,,Dar,,3.98,,,DA,,355 PRI N 1-2 ( 1),,,
"G1213
704",,"13.09.2000
ID: 4522",,"MIRENIĆ-Bačić, Jasenka",,"Likovna umjetnost 20. stoljeća : priručnik za IV. Zagreb : Školska knjiga, 2000",,,,,Vlastita kupnja,,6.64,,,DA,,7(091) MIR L,,,
"G1214
705",,"10.10.2000
ID: 5538",,POLUGODIŠNJA financijska i statistička izvješća za škole i učeničke domove,,"Polugodišnja financijska i statistička izvješća za Zagreb : Consult Biro, 1999.-",,,,,Dar,,1.33,,,DA,,519.2;37.014.543 POL p,,,
"G1215
706",,"12.10.2000
ID: 3185",,"PRIKRIL, Boris",,"Pakao Pacifika / Boris Prikril. - Zagreb [etc.] : Znanje [etc.], 1985",,,2,,Dar,,5.31,,,DA,,355 PRI P 1-2 ( 2),,,
"V1216
707",,"10.10.2003
ID: 5537",,"RAOS, Jasenka",,"Udžbenik za frizere 1 : za prvi razred srednje ško Varaždin : Tipomat, 1998",,,,,Dar,,15.93,,,DA,,68 RAO U-1,,Otpisano 23.12.2019.,
"G1216
708",,"11.03.2016
ID: 6313",,"RAOS, Jasenka",,"Udžbenik za frizere 1 : za prvi razred srednje ško Varaždin : Tipomat, 1998",,,,,Vlastita kupnja,,23.89,,,DA,,68 RAO U-1,,,
"G1217
709",,"10.10.2004
ID: 5454",,"JAGODIĆ, Boško",,"Matematika za prvi razred industrijskih i obrtničk Zagreb : Centar za dopisno obrazovanje Birotehnika, 1996",,,,,Dar,,6.64,,,DA,,51(075) JAG m,,,
"G1218
710",,"19.01.2016
ID: 6046",,"PODUZETNIČKO
računovodstvo",,"Poduzetničko računovodstvo / Zdravko Baica...[et.a Zagreb : TEB-poslovno savjetovanje, 1996",,,,,Vlastita kupnja,,15.93,,,DA,,657 POD,,,
